"animal_id","year_cap","year_birth","age","weight","bcs","group"
"90-2010-0-102",2012,2010,2.5,138,96.25,"ey"
"90-2010-0-115",2013,2010,3.5,176,96.25,"ey"
"90-2015-0-562",2017,2015,2.5,145,96.125,"ey"
"90-2008-0-054",2010,2008,2.5,171,96.375,"ey"
"90-2019-0-978",2021,2019,2.5,161,96.625,"ey"
"90-2008-0-039",2011,2008,3.5,173,96.75,"ey"
"90-2011-0-368",2013,2011,2.5,144,96.75,"ey"
"90-2012-0-348",2014,2012,2.5,161,97,"ey"
"90-2018-0-854",2021,2018,3.5,176,96.75,"ey"
"90-2015-0-571",2020,2015,5.5,214,97.125,"ey"
"90-2014-0-458",2016,2014,2.5,143,97.125,"ey"
"90-2017-0-778",2020,2017,3.5,148,97.75,"ey"
"90-2018-0-853",2020,2018,2.5,153,98,"ey"
"90-2009-0-058",2011,2009,2.5,145,97.875,"ey"
"90-2014-0-466",2016,2014,2.5,119,98,"ey"
"90-2017-0-784",2020,2017,3.5,188,98.625,"ey"
"90-2008-0-052",2010,2008,2.5,154,99,"ey"
"90-2011-0-355",2014,2011,3.5,177,98.625,"ey"
"90-2012-0-001",2015,2012,3.5,152,98.875,"ey"
"90-2013-0-288",2015,2013,2.5,142,99,"ey"
"90-2015-0-581",2018,2015,3.5,156,99,"ey"
"90-2017-0-781",2018,2017,1.5,108,99,"ey"
"90-2010-0-112",2012,2010,2.5,152,99.25,"ey"
"90-2014-0-456",2016,2014,2.5,141,99.125,"ey"
"90-2016-0-671",2018,2016,2.5,128,99.125,"ey"
"90-2013-0-289",2016,2013,3.5,152,99.5,"ey"
"90-2016-0-663",2019,2016,3.5,178,99.5,"ey"
"90-2011-0-362",2014,2011,3.5,192,99.875,"ey"
"90-2015-0-570",2019,2015,4.5,182,99.875,"ey"
"90-2015-0-571",2021,2015,6.5,208,100,"ey"
"90-2014-0-472",2016,2014,2.5,128,100.375,"ey"
"90-2017-0-782",2019,2017,2.5,146,100.25,"ey"
"90-2015-0-563",2017,2015,2.5,150,100.75,"ey"
"90-2018-0-860",2021,2018,3.5,137,100.75,"ey"
"90-2009-0-067",2020,2009,11.5,163,101.125,"ey"
"90-2012-0-349",2014,2012,2.5,153,101.375,"ey"
"90-2013-0-274",2015,2013,2.5,145,101.125,"ey"
"90-2008-0-032",2010,2008,2.5,166,101.5,"ey"
"90-2011-0-360",2013,2011,2.5,143,101.5,"ey"
"90-2014-0-469",2017,2014,3.5,142,102.125,"ey"
"90-2013-0-277",2015,2013,2.5,153,102.25,"ey"
"90-2013-0-282",2015,2013,2.5,153,102.5,"ey"
"90-2013-0-284",2015,2013,2.5,136,102.375,"ey"
"90-2013-0-291",2016,2013,3.5,137,102.5,"ey"
"90-2015-0-566",2017,2015,2.5,148,102.25,"ey"
"90-2015-0-570",2020,2015,5.5,192,102.875,"ey"
"90-2015-0-576",2017,2015,2.5,143,102.875,"ey"
"90-2017-0-776",2019,2017,2.5,127,102.875,"ey"
"90-2007-0-045",2015,2007,8.5,NA,103,"ey"
"90-2011-0-359",2013,2011,2.5,137,103.125,"ey"
"90-2016-0-664",2019,2016,3.5,160,103.25,"ey"
"90-2008-0-042",2010,2008,2.5,162,103.5,"ey"
"90-2015-0-577",2018,2015,3.5,169,103.375,"ey"
"90-2009-0-057",2012,2009,3.5,179,103.875,"ey"
"90-2011-0-358",2013,2011,2.5,150,103.75,"ey"
"90-2013-0-290",2015,2013,2.5,144,104,"ey"
"90-2015-0-564",2017,2015,2.5,137,103.75,"ey"
"90-2017-0-778",2021,2017,4.5,165,104.5,"ey"
"90-2010-0-104",2012,2010,2.5,167,104.625,"ey"
"90-2009-0-069",2011,2009,2.5,148,105.125,"ey"
"90-2010-0-103",2012,2010,2.5,143,105,"ey"
"90-2013-0-275",2016,2013,3.5,156,105.125,"ey"
"90-2010-0-115",2014,2010,4.5,160,105.375,"ey"
"90-2014-0-465",2016,2014,2.5,148,105.5,"ey"
"90-2017-0-786",2019,2017,2.5,147,105.5,"ey"
"90-2017-0-779",2020,2017,3.5,188,105.75,"ey"
"90-2013-0-280",2015,2013,2.5,169,106,"ey"
"90-2008-0-059",2010,2008,2.5,148,106.125,"ey"
"90-2012-0-324",2015,2012,3.5,168,106.125,"ey"
"90-2014-0-468",2017,2014,3.5,123,106.375,"ey"
"90-2019-0-975",2021,2019,2.5,152,106.375,"ey"
"90-2013-0-286",2016,2013,3.5,164,106.875,"ey"
"90-2013-0-289",2017,2013,4.5,153,106.75,"ey"
"90-2014-0-457",2016,2014,2.5,145,106.875,"ey"
"90-2014-0-459",2018,2014,4.5,187,106.75,"ey"
"90-2015-0-579",2017,2015,2.5,146,106.875,"ey"
"90-2009-0-070",2020,2009,11.5,182,107.25,"ey"
"90-2010-0-114",2012,2010,2.5,157,107.25,"ey"
"90-2014-0-475",2016,2014,2.5,127,107,"ey"
"90-2015-0-562",2018,2015,3.5,155,107.125,"ey"
"90-2019-0-977",2021,2019,2.5,174,107.125,"ey"
"90-2008-0-054",2011,2008,3.5,177,107.375,"ey"
"90-2009-0-062",2011,2009,2.5,141,107.375,"ey"
"90-2011-0-365",2014,2011,3.5,145,107.625,"ey"
"90-2010-0-105",2013,2010,3.5,167,108,"ey"
"90-2018-0-861",2021,2018,3.5,152,107.875,"ey"
"90-2011-0-367",2014,2011,3.5,183,108.625,"ey"
"90-2017-0-784",2021,2017,4.5,198,108.625,"ey"
"90-2008-0-039",2012,2008,4.5,202,109.25,"ey"
"90-2016-0-661",2019,2016,3.5,166,109.625,"ey"
"90-2007-0-049",2009,2007,2.5,179,110,"ey"
"90-2009-0-051",2011,2009,2.5,153,109.75,"ey"
"90-2012-0-329",2014,2012,2.5,175,109.75,"ey"
"90-2016-0-662",2018,2016,2.5,123,110,"ey"
"90-2008-0-056",2012,2008,4.5,189,110.5,"ey"
"90-2009-0-063",2012,2009,3.5,182,110.5,"ey"
"90-2009-0-070",2012,2009,3.5,190,110.625,"ey"
"90-2011-0-370",2014,2011,3.5,207,110.5,"ey"
"90-2014-0-460",2016,2014,2.5,143,110.75,"ey"
"90-2015-0-565",2018,2015,3.5,136,110.5,"ey"
"90-2019-0-980",2021,2019,2.5,142,110.875,"ey"
"90-2018-0-851",2020,2018,2.5,157,111.5,"ey"
"90-2013-0-292",2016,2013,3.5,164,111.5,"ey"
"90-2015-0-559",2019,2015,4.5,205,111.375,"ey"
"90-2015-0-580",2018,2015,3.5,146,111.5,"ey"
"90-2018-0-855",2020,2018,2.5,168,111.625,"ey"
"90-2010-0-109",2013,2010,3.5,185,111.75,"ey"
"90-2013-0-278",2016,2013,3.5,175,112,"ey"
"90-2007-0-024",2011,2007,4.5,185,112.5,"ey"
"90-2009-0-060",2011,2009,2.5,158,112.75,"ey"
"90-2011-0-354",2014,2011,3.5,173,112.75,"ey"
"90-2012-0-324",2016,2012,4.5,170,112.5,"ey"
"90-2015-0-574",2018,2015,3.5,152,112.625,"ey"
"90-2016-0-659",2019,2016,3.5,164,112.75,"ey"
"90-2008-0-033",2010,2008,2.5,153,113.125,"ey"
"90-2014-0-469",2018,2014,4.5,174,113,"ey"
"90-2017-0-787",2020,2017,3.5,172,113.375,"ey"
"90-2009-0-058",2019,2009,10.5,224,113.25,"ey"
"90-2009-0-066",2011,2009,2.5,167,113.375,"ey"
"90-2011-0-362",2015,2011,4.5,203,113.375,"ey"
"90-2013-0-279",2016,2013,3.5,156,113.25,"ey"
"90-2016-0-666",2019,2016,3.5,162,113.5,"ey"
"90-2009-0-067",2012,2009,3.5,177,113.875,"ey"
"90-2016-0-665",2019,2016,3.5,153,113.875,"ey"
"90-2017-0-780",2020,2017,3.5,163,114,"ey"
"90-2013-0-291",2017,2013,4.5,140,114.25,"ey"
"90-2015-0-578",2017,2015,2.5,123,114.125,"ey"
"90-2015-0-559",2020,2015,5.5,210,114.5,"ey"
"90-2008-0-034",2010,2008,2.5,173,114.375,"ey"
"90-2012-0-350",2015,2012,3.5,178,114.625,"ey"
"90-2013-0-273",2015,2013,2.5,160,114.5,"ey"
"90-2013-0-291",2018,2013,5.5,157,115,"ey"
"90-2014-0-456",2017,2014,3.5,154,114.875,"ey"
"90-2007-0-039",2011,2007,4.5,186,115.5,"ey"
"90-2009-0-058",2021,2009,12.5,193,115.5,"ey"
"90-2012-0-319",2014,2012,2.5,164,115.75,"ey"
"90-2018-0-857",2021,2018,3.5,187,115.875,"ey"
"90-2008-0-059",2011,2008,3.5,164,116.125,"ey"
"90-2013-0-286",2021,2013,8.5,202,116,"ey"
